#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|web_id_locator(deprecated)
1591629|2005-04-14T04:41:59.690000|41.767|13.618|9.4|BULLETIN-VAX||||Md|2.2|Bollettino Sismico Italiano INGV|FROSINONE|0
1591839|2005-04-14T19:41:23.370000|43.064|13.978|5|BULLETIN-VAX||||Md|2.5|Bollettino Sismico Italiano INGV|ASCOLI PICENO|0
1591869|2005-04-14T21:58:27.460000|43.094|13.353|10|BULLETIN-VAX||||Md|2.4|Bollettino Sismico Italiano INGV|MACERATA|0
1591879|2005-04-14T22:17:54.970000|44.135|10.875|10|BULLETIN-VAX||||Md|2.1|Bollettino Sismico Italiano INGV|BOLOGNA|0
1591909|2005-04-14T23:09:55.700000|39.281|16.94|8.5|BULLETIN-VAX||||Md|2.9|Bollettino Sismico Italiano INGV|CROTONE|0
1591919|2005-04-14T23:25:49.480000|39.227|17.039|6.9|BULLETIN-VAX||||Md|2.8|Bollettino Sismico Italiano INGV|CROTONE|0
1591929|2005-04-15T00:24:46.560000|38.396|12.115|5|BULLETIN-VAX||||Md|2.8|Bollettino Sismico Italiano INGV|TRAPANI|0
1591979|2005-04-15T07:35:56.010000|40.796|14.674|5.6|BULLETIN-VAX||||Md|2.4|Bollettino Sismico Italiano INGV|SALERNO|0
1591989|2005-04-15T07:41:32.220000|39.706|15.658|5|BULLETIN-VAX||||Md|3.4|Bollettino Sismico Italiano INGV|COSENZA|0
1592129|2005-04-15T16:25:49.750000|46.109|12.279|5|BULLETIN-VAX||||Md|2.7|Bollettino Sismico Italiano INGV|BELLUNO|0
1592159|2005-04-15T20:27:06.170000|38.392|13.627|5|BULLETIN-VAX||||Md|2.6|Bollettino Sismico Italiano INGV|PALERMO|0
1592179|2005-04-15T21:09:07.660000|43.313|11.504|5|BULLETIN-VAX||||Md|2.3|Bollettino Sismico Italiano INGV|SIENA|0
1592299|2005-04-16T11:23:38.180000|39.498|15.082|306.7|BULLETIN-SISPICK||||ML|3.8|Bollettino Sismico Italiano INGV|Tirreno_meridionale_B|0
1592359|2005-04-17T04:54:20.950000|43.085|13.305|23.2|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|MACERATA|0
1592369|2005-04-17T05:06:52.380000|43.075|13.292|21.7|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|MACERATA|0
1592429|2005-04-17T10:46:59.000000|43.267|12.515|9|BULLETIN-SISPICK||||ML|2.5|Bollettino Sismico Italiano INGV|PERUGIA|0
1592489|2005-04-18T01:17:09.490000|38.94|14.544|28|BULLETIN-SISPICK||||ML|2.6|Bollettino Sismico Italiano INGV|MESSINA|0
1592499|2005-04-18T04:25:23.760000|38.987|16.487|5.8|BULLETIN-SISPICK||||ML|2.5|Bollettino Sismico Italiano INGV|CATANZARO|0
1592519|2005-04-18T10:06:00.320000|38.639|14.376|38.8|BULLETIN-SISPICK||||ML|3.1|Bollettino Sismico Italiano INGV|MESSINA|0
1592529|2005-04-18T10:59:18.560000|44.724|9.348|7.8|BULLETIN-SISPICK||||ML|3.7|Bollettino Sismico Italiano INGV|PIACENZA|0
1592539|2005-04-18T11:45:33.180000|41.635|14.149|5.5|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|ISERNIA|0
1592559|2005-04-18T15:56:08.000000|41.702|14.168|9.4|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|ISERNIA|0
1592589|2005-04-18T18:00:51.980000|41.713|14.166|9.3|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|ISERNIA|0
1592819|2005-04-19T07:42:01.250000|44.77|9.724|25.2|BULLETIN-SISPICK||||ML|3.8|Bollettino Sismico Italiano INGV|PIACENZA|0
1592839|2005-04-19T08:27:39.880000|44.769|9.687|25.6|BULLETIN-SISPICK||||ML|3.5|Bollettino Sismico Italiano INGV|PIACENZA|0
1592849|2005-04-19T08:47:35.310000|37.895|14.711|26.4|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|MESSINA|0
1592859|2005-04-19T09:39:28.860000|44.742|9.74|29.2|BULLETIN-SISPICK||||ML|2.7|Bollettino Sismico Italiano INGV|PIACENZA|0
1592869|2005-04-19T09:45:50.710000|44.716|9.71|29.8|BULLETIN-SISPICK||||ML|2.7|Bollettino Sismico Italiano INGV|PIACENZA|0
1592889|2005-04-19T10:08:10.130000|43.326|13.232|6.8|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|MACERATA|0
1592899|2005-04-19T10:35:36.410000|43.129|12.872|16.8|BULLETIN-SISPICK||||ML|2.3|Bollettino Sismico Italiano INGV|MACERATA|0
1592919|2005-04-19T10:59:50.810000|44.751|9.74|27.3|BULLETIN-SISPICK||||ML|2.1|Bollettino Sismico Italiano INGV|PIACENZA|0
1592929|2005-04-19T12:23:23.010000|41.673|14.822|18|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|CAMPOBASSO|0
1592949|2005-04-19T15:17:25.370000|41.721|14.159|9.8|BULLETIN-SISPICK||||ML|2.7|Bollettino Sismico Italiano INGV|ISERNIA|0
1593119|2005-04-19T22:36:23.540000|38.143|15.632|16.5|BULLETIN-SISPICK||||ML|3.2|Bollettino Sismico Italiano INGV|REGGIO CALABRIA|0
1593129|2005-04-19T22:45:56.900000|41.705|14.166|9.9|BULLETIN-SISPICK||||ML|2.4|Bollettino Sismico Italiano INGV|ISERNIA|0
1593189|2005-04-20T01:10:44.330000|41.687|14.171|10.1|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|ISERNIA|0
1593339|2005-04-20T10:03:10.810000|37.141|14.524|48|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|CATANIA|0
1593399|2005-04-20T18:31:59.050000|44.394|11.901|18.8|BULLETIN-SISPICK||||Md|2.2|Bollettino Sismico Italiano INGV|RAVENNA|0
1593439|2005-04-20T21:55:02.150000|39.425|16.983|27.3|BULLETIN-SISPICK||||ML|2.0|Bollettino Sismico Italiano INGV|CROTONE|0
1593449|2005-04-21T00:08:20.010000|41.714|14.163|10.2|BULLETIN-SISPICK||||ML|2.6|Bollettino Sismico Italiano INGV|ISERNIA|0
1593469|2005-04-21T01:32:55.700000|40.768|15.583|6.5|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|POTENZA|0
1593499|2005-04-21T05:33:33.410000|41.686|14.173|9.9|BULLETIN-SISPICK||||ML|2.2|Bollettino Sismico Italiano INGV|ISERNIA|0
1593559|2005-04-21T09:18:05.910000|42.674|11.823|9.3|BULLETIN-SISPICK||||ML|2.5|Bollettino Sismico Italiano INGV|VITERBO|0
1593609|2005-04-21T12:53:40.090000|37.825|14.988|21.7|BULLETIN-SISPICK||||ML|3.0|Bollettino Sismico Italiano INGV|CATANIA|0
1593639|2005-04-21T15:15:10.440000|41.691|14.156|10.5|BULLETIN-SISPICK||||ML|2.3|Bollettino Sismico Italiano INGV|ISERNIA|0
1593649|2005-04-21T17:11:52.700000|37.828|14.961|24.3|BULLETIN-SISPICK||||ML|2.4|Bollettino Sismico Italiano INGV|CATANIA|0
1593669|2005-04-21T20:46:18.400000|41.685|15.308|7.9|BULLETIN-SISPICK||||Md|2.3|Bollettino Sismico Italiano INGV|FOGGIA|0
